2017-07-27 13:38:56,981 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding UTF-8, i.e. build is platform dependent!
2017-07-27 13:38:56,983 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 13:38:56,989 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-07-27 13:38:57,001 [Worker-70] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 13:38:57,001 [Worker-70] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ali/Desktop/ALI_SelUpdate/dmcqa/dmcQA/src/test/resources
2017-07-27 13:40:29,047 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding UTF-8, i.e. build is platform dependent!
2017-07-27 13:40:29,047 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 13:40:29,048 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-07-27 13:40:29,063 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-27 13:40:29,063 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ali/Desktop/ALI_SelUpdate/dmcqa/dmcQA/src/test/resources
2017-07-27 13:40:46,846 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - File encoding has not been set, using platform encoding UTF-8, i.e. build is platform dependent!
2017-07-27 13:40:46,847 [Worker-68] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
